ID,avg_delay_minutes_next_30m
TEST_000000,15.318148
TEST_000001,15.872371
TEST_000002,15.99436
TEST_000003,15.796345
TEST_000004,14.629
TEST_000005,13.071399
TEST_000006,13.130934
TEST_000007,14.026034
TEST_000008,14.84493
TEST_000009,16.076105
TEST_000010,15.840923
TEST_000011,15.962689
TEST_000012,16.596146
TEST_000013,15.479812
TEST_000014,13.182398
TEST_000015,14.658742
TEST_000016,15.057675
TEST_000017,16.499401
TEST_000018,15.895845
TEST_000019,15.777859
TEST_000020,16.247997
TEST_000021,14.745466
TEST_000022,12.945947
TEST_000023,13.567779
TEST_000024,14.339909
TEST_000025,23.35813
TEST_000026,32.589127
TEST_000027,34.469936
TEST_000028,34.128883
TEST_000029,33.004433
TEST_000030,34.615566
TEST_000031,35.046753
TEST_000032,33.511707
TEST_000033,32.30945
TEST_000034,32.90016
TEST_000035,32.871998
TEST_000036,33.15761
TEST_000037,33.968353
TEST_000038,35.309196
TEST_000039,36.135517
TEST_000040,36.35764
TEST_000041,34.327763
TEST_000042,34.044827
TEST_000043,34.407314
TEST_000044,34.15021
TEST_000045,34.409115
TEST_000046,34.519108
TEST_000047,34.34924
TEST_000048,34.956913
TEST_000049,34.599762
TEST_000050,22.123812
TEST_000051,34.52268
TEST_000052,35.48421
TEST_000053,36.59504
TEST_000054,36.521454
TEST_000055,35.50584
TEST_000056,34.65516
TEST_000057,34.588863
TEST_000058,35.708378
TEST_000059,34.781254
TEST_000060,34.53307
TEST_000061,35.22208
TEST_000062,35.001354
TEST_000063,35.16032
TEST_000064,35.88154
TEST_000065,35.794785
TEST_000066,36.57217
TEST_000067,35.193462
TEST_000068,35.27717
TEST_000069,33.400463
TEST_000070,32.582893
TEST_000071,33.97528
TEST_000072,33.708286
TEST_000073,32.52656
TEST_000074,34.84166
TEST_000075,13.136397
TEST_000076,15.309054
TEST_000077,18.738607
TEST_000078,24.868
TEST_000079,28.695248
TEST_000080,33.237705
TEST_000081,34.37948
TEST_000082,35.482536
TEST_000083,37.611553
TEST_000084,37.201065
TEST_000085,36.942223
TEST_000086,36.059826
TEST_000087,36.04783
TEST_000088,35.40943
TEST_000089,34.965107
TEST_000090,36.02277
TEST_000091,36.35824
TEST_000092,37.12609
TEST_000093,38.042343
TEST_000094,39.318806
TEST_000095,40.407055
TEST_000096,38.935528
