ID,avg_delay_minutes_next_30m
TEST_000000,15.078473
TEST_000001,15.972863
TEST_000002,16.214428
TEST_000003,15.99193
TEST_000004,14.90571
TEST_000005,12.844235
TEST_000006,12.507975
TEST_000007,14.17518
TEST_000008,14.829563
TEST_000009,15.89118
TEST_000010,15.884582
TEST_000011,16.152878
TEST_000012,16.860859
TEST_000013,15.625929
TEST_000014,13.021777
TEST_000015,14.846482
TEST_000016,14.936855
TEST_000017,17.257456
TEST_000018,16.056202
TEST_000019,15.194974
TEST_000020,16.666264
TEST_000021,14.003325
TEST_000022,11.981229
TEST_000023,13.143532
TEST_000024,14.870582
TEST_000025,25.42639
TEST_000026,33.25984
TEST_000027,33.767895
TEST_000028,33.825134
TEST_000029,33.639008
TEST_000030,34.18054
TEST_000031,34.170563
TEST_000032,33.5084
TEST_000033,32.662285
TEST_000034,32.863823
TEST_000035,33.12048
TEST_000036,33.292873
TEST_000037,34.176373
TEST_000038,34.810127
TEST_000039,36.246098
TEST_000040,35.583405
TEST_000041,35.448513
TEST_000042,34.31279
TEST_000043,34.797592
TEST_000044,34.602276
TEST_000045,34.330433
TEST_000046,34.574238
TEST_000047,34.438225
TEST_000048,34.960224
TEST_000049,34.171173
TEST_000050,21.098434
TEST_000051,32.4948
TEST_000052,33.781796
TEST_000053,35.20453
TEST_000054,35.128483
TEST_000055,35.283848
TEST_000056,34.063095
TEST_000057,34.065205
TEST_000058,35.66069
TEST_000059,33.868847
TEST_000060,33.65552
TEST_000061,34.01423
TEST_000062,34.36476
TEST_000063,35.365795
TEST_000064,35.507374
TEST_000065,36.270576
TEST_000066,37.108253
TEST_000067,36.08472
TEST_000068,35.79971
TEST_000069,35.136116
TEST_000070,34.59361
TEST_000071,35.694138
TEST_000072,35.078156
TEST_000073,34.95619
TEST_000074,36.547596
TEST_000075,11.993576
TEST_000076,14.454126
TEST_000077,18.049341
TEST_000078,24.786589
TEST_000079,29.626108
TEST_000080,31.966406
TEST_000081,32.93102
TEST_000082,34.2707
TEST_000083,35.477028
TEST_000084,35.146927
TEST_000085,35.273808
TEST_000086,34.5647
TEST_000087,34.42284
TEST_000088,33.804913
TEST_000089,33.92166
TEST_000090,34.744343
TEST_000091,35.104946
TEST_000092,35.73378
TEST_000093,36.619812
TEST_000094,37.600277
TEST_000095,38.01804
TEST_000096,36.92039
TEST_000097,36.722294
TEST_000098,35.644474
TEST_000099,35.89545
TEST_000100,6.279328
TEST_000101,6.49293
TEST_000102,6.2774253
TEST_000103,5.761952
TEST_000104,5.77692
TEST_000105,5.9026084
TEST_000106,5.9542704
TEST_000107,5.7159753
TEST_000108,5.8514013
TEST_000109,6.1092286
TEST_000110,6.079806
TEST_000111,5.8870983
TEST_000112,5.8205705
TEST_000113,5.914254
TEST_000114,5.761783
TEST_000115,6.123405
TEST_000116,5.873408
TEST_000117,5.858509
TEST_000118,5.8496437
TEST_000119,5.7742124
TEST_000120,5.7906685
TEST_000121,6.0905285
TEST_000122,5.7771516
TEST_000123,5.9893937
TEST_000124,5.840595
TEST_000125,12.6776085
TEST_000126,19.73484
TEST_000127,23.422344
TEST_000128,23.817255
TEST_000129,26.93923
TEST_000130,28.135948
TEST_000131,28.262522
TEST_000132,27.864492
TEST_000133,29.724306
TEST_000134,36.94124
TEST_000135,40.510933
TEST_000136,39.676548
TEST_000137,38.25131
TEST_000138,29.73655
TEST_000139,35.01461
TEST_000140,39.252453
TEST_000141,46.247055
TEST_000142,56.230713
TEST_000143,49.72882
TEST_000144,51.35641
TEST_000145,48.936012
TEST_000146,46.27105
TEST_000147,40.185852
TEST_000148,43.533215
TEST_000149,40.130543
TEST_000150,6.5174994
TEST_000151,3.9273276
TEST_000152,8.762463
TEST_000153,16.463903
TEST_000154,25.84996
TEST_000155,33.633724
TEST_000156,36.680355
TEST_000157,41.51658
TEST_000158,58.94334
TEST_000159,59.409145
TEST_000160,56.22322
TEST_000161,59.005375
TEST_000162,58.47074
TEST_000163,63.14469
TEST_000164,66.043
TEST_000165,72.00071
TEST_000166,67.97689
TEST_000167,70.74196
TEST_000168,69.3158
TEST_000169,71.343605
TEST_000170,70.7387
TEST_000171,72.5532
TEST_000172,74.64674
TEST_000173,75.4959
TEST_000174,78.48623
TEST_000175,13.3278885
TEST_000176,17.27225
TEST_000177,23.490692
TEST_000178,23.963615
TEST_000179,23.339235
TEST_000180,21.447443
TEST_000181,19.394299
TEST_000182,14.196595
TEST_000183,12.227129
TEST_000184,12.93176
TEST_000185,15.431045
TEST_000186,18.407843
TEST_000187,20.7649
TEST_000188,22.371529
TEST_000189,24.295681
TEST_000190,32.75761
TEST_000191,35.073067
TEST_000192,37.86248
TEST_000193,34.278645
TEST_000194,28.078533
TEST_000195,25.360626
TEST_000196,33.034252
TEST_000197,35.414825
TEST_000198,36.649014
TEST_000199,36.38837
TEST_000200,13.902924
TEST_000201,18.223642
TEST_000202,21.175024
TEST_000203,19.350605
TEST_000204,21.48193
TEST_000205,21.715763
TEST_000206,21.352343
TEST_000207,24.89933
TEST_000208,22.19371
TEST_000209,19.354593
TEST_000210,23.660421
TEST_000211,26.396097
TEST_000212,25.288525
TEST_000213,29.049782
TEST_000214,30.491676
TEST_000215,32.568325
TEST_000216,33.629833
TEST_000217,32.648468
TEST_000218,34.219727
TEST_000219,33.192955
TEST_000220,33.629917
TEST_000221,32.716915
TEST_000222,32.837173
TEST_000223,33.600544
TEST_000224,33.07515
