ID,avg_delay_minutes_next_30m
TEST_000000,15.240474
TEST_000001,15.810745
TEST_000002,15.940466
TEST_000003,15.742102
TEST_000004,14.603522
TEST_000005,13.049076
TEST_000006,13.079582
TEST_000007,14.009797
TEST_000008,14.794876
TEST_000009,15.992844
TEST_000010,15.775551
TEST_000011,15.906892
TEST_000012,16.543465
TEST_000013,15.425474
TEST_000014,13.163337
TEST_000015,14.626549
TEST_000016,14.995511
TEST_000017,16.48219
TEST_000018,15.838357
TEST_000019,15.668103
TEST_000020,16.20723
TEST_000021,14.645441
TEST_000022,12.8729
TEST_000023,13.522366
TEST_000024,14.339613
TEST_000025,23.68223
TEST_000026,33.203568
TEST_000027,34.680088
TEST_000028,34.382668
TEST_000029,33.497486
TEST_000030,34.80308
TEST_000031,35.101032
TEST_000032,33.87112
TEST_000033,32.985348
TEST_000034,33.375645
TEST_000035,33.369423
TEST_000036,33.552418
TEST_000037,34.274002
TEST_000038,35.33452
TEST_000039,36.046955
TEST_000040,36.20275
TEST_000041,34.692677
TEST_000042,34.347374
TEST_000043,34.71719
TEST_000044,34.459347
TEST_000045,34.685368
TEST_000046,34.766953
TEST_000047,34.63979
TEST_000048,35.097836
TEST_000049,34.79083
TEST_000050,21.996151
TEST_000051,34.39571
TEST_000052,35.166096
TEST_000053,36.110306
TEST_000054,36.05393
TEST_000055,35.288
TEST_000056,34.599174
TEST_000057,34.55074
TEST_000058,35.453392
TEST_000059,34.672596
TEST_000060,34.48479
TEST_000061,34.988792
TEST_000062,34.858913
TEST_000063,35.04194
TEST_000064,35.560318
TEST_000065,35.551678
TEST_000066,36.230053
TEST_000067,35.11715
TEST_000068,35.156616
TEST_000069,33.64802
TEST_000070,33.070957
TEST_000071,34.163147
TEST_000072,33.90289
TEST_000073,33.061188
TEST_000074,34.906605
TEST_000075,13.029005
TEST_000076,15.169005
TEST_000077,18.61016
TEST_000078,24.806372
TEST_000079,28.645245
TEST_000080,33.25906
TEST_000081,34.315247
TEST_000082,35.1814
TEST_000083,37.04816
TEST_000084,36.664032
TEST_000085,36.42107
TEST_000086,35.612022
TEST_000087,35.592308
TEST_000088,35.095528
TEST_000089,34.785183
TEST_000090,35.595604
TEST_000091,35.924866
TEST_000092,36.63229
TEST_000093,37.460964
TEST_000094,38.664886
TEST_000095,39.802494
TEST_000096,38.28627
TEST_000097,37.79991
TEST_000098,36.77393
TEST_000099,36.601303
TEST_000100,6.5418935
TEST_000101,6.502438
TEST_000102,6.2273364
TEST_000103,5.9009
TEST_000104,5.957599
TEST_000105,6.055419
TEST_000106,6.0320854
TEST_000107,5.8368926
TEST_000108,5.9246287
TEST_000109,5.9693346
TEST_000110,6.1462374
TEST_000111,6.135217
TEST_000112,5.996784
TEST_000113,6.04789
TEST_000114,6.006187
TEST_000115,6.1567855
TEST_000116,6.0101585
TEST_000117,5.914444
TEST_000118,5.8657866
TEST_000119,5.873289
TEST_000120,6.027147
TEST_000121,6.199197
TEST_000122,5.952476
TEST_000123,6.104543
TEST_000124,6.155686
TEST_000125,14.624233
TEST_000126,21.4952
TEST_000127,24.809366
TEST_000128,25.612366
TEST_000129,27.436113
TEST_000130,27.743238
TEST_000131,27.90254
TEST_000132,27.257524
TEST_000133,30.874699
TEST_000134,38.080475
TEST_000135,38.92938
TEST_000136,40.580425
TEST_000137,35.918655
TEST_000138,32.858074
TEST_000139,35.152878
TEST_000140,38.065235
TEST_000141,45.59933
TEST_000142,53.377087
TEST_000143,50.47904
TEST_000144,50.966133
TEST_000145,48.39253
