ID,avg_delay_minutes_next_30m
TEST_000000,15.411357
TEST_000001,15.946322
TEST_000002,16.059032
TEST_000003,15.861437
TEST_000004,14.659574
TEST_000005,13.0981865
TEST_000006,13.192556
TEST_000007,14.045518
TEST_000008,14.904995
TEST_000009,16.176018
TEST_000010,15.91937
TEST_000011,16.029646
TEST_000012,16.659363
TEST_000013,15.545017
TEST_000014,13.205271
TEST_000015,14.697373
TEST_000016,15.132272
TEST_000017,16.520054
TEST_000018,15.96483
TEST_000019,15.909566
TEST_000020,16.296917
TEST_000021,14.865496
TEST_000022,13.033604
TEST_000023,13.622274
TEST_000024,14.340264
TEST_000025,22.96921
TEST_000026,31.851797
TEST_000027,34.217754
TEST_000028,33.82434
TEST_000029,32.41277
TEST_000030,34.39055
TEST_000031,34.981617
TEST_000032,33.08041
TEST_000033,31.498373
TEST_000034,32.32958
TEST_000035,32.27509
TEST_000036,32.68384
TEST_000037,33.601574
TEST_000038,35.27881
TEST_000039,36.24179
TEST_000040,36.543507
TEST_000041,33.889866
TEST_000042,33.68177
TEST_000043,34.03546
TEST_000044,33.779247
TEST_000045,34.07761
TEST_000046,34.221695
TEST_000047,34.00058
TEST_000048,34.787804
TEST_000049,34.37048
TEST_000050,22.277004
TEST_000051,34.675045
TEST_000052,35.865948
TEST_000053,37.17672
TEST_000054,37.08248
TEST_000055,35.767246
TEST_000056,34.722343
TEST_000057,34.63461
TEST_000058,36.014362
TEST_000059,34.911644
TEST_000060,34.591007
TEST_000061,35.502026
TEST_000062,35.172283
TEST_000063,35.302376
TEST_000064,36.267006
TEST_000065,36.086514
TEST_000066,36.98271
TEST_000067,35.285038
TEST_000068,35.421833
TEST_000069,33.103394
TEST_000070,31.997215
TEST_000071,33.74984
TEST_000072,33.474762
TEST_000073,31.885006
TEST_000074,34.763725
TEST_000075,13.265267
TEST_000076,15.477113
TEST_000077,18.892744
TEST_000078,24.941954
TEST_000079,28.75525
TEST_000080,33.21208
TEST_000081,34.45656
TEST_000082,35.8439
TEST_000083,38.287624
TEST_000084,37.845505
TEST_000085,37.567608
TEST_000086,36.59719
TEST_000087,36.594456
TEST_000088,35.786114
TEST_000089,35.181015
TEST_000090,36.53537
TEST_000091,36.87829
TEST_000092,37.71865
TEST_000093,38.739998
TEST_000094,40.10351
TEST_000095,41.132526
TEST_000096,39.714638
TEST_000097,39.16095
TEST_000098,37.88616
TEST_000099,37.658
TEST_000100,6.4535513
TEST_000101,6.3806844
TEST_000102,6.1206217
TEST_000103,5.785107
TEST_000104,5.8503885
TEST_000105,5.9533696
TEST_000106,5.9137306
TEST_000107,5.711747
TEST_000108,5.798288
TEST_000109,5.8075776
TEST_000110,6.0445256
TEST_000111,6.065789
TEST_000112,5.8924594
TEST_000113,5.9412403
TEST_000114,5.9149823
TEST_000115,6.052149
TEST_000116,5.9005556
TEST_000117,5.7848725
TEST_000118,5.7276726
TEST_000119,5.7500606
TEST_000120,5.9362745
TEST_000121,6.1172566
TEST_000122,5.8442454
TEST_000123,6.0019274
TEST_000124,6.103176
TEST_000125,15.068393
